mentee_subjects,mentee_topics,mentee_competencies,mentee_availability,mentee_difficulty_level,mentee_year_level,mentor_role,mentor_subjects,mentor_topics,mentor_competencies,mentor_availability,mentor_years_experience,mentor_teaching_experience_years,mentor_expertise_level,mentor_year_level,target_score
"Computer Programming, IT Fundamentals, Introduction to Computing","Client-Side Scripting, Data Structures, Web Markup, Web Styling","DOM Manipulation, Linear/Binary Searching, Media & Tables, Responsive Layouts, Forms & Inputs","Tue|10:00-12:00, Mon|09:00-11:00",2,1,Instructor,"Intro to Human Computer Interaction, Computer Programming","User Research & Behavioral Mapping, Modular Programming, High-Fidelity Design & Documentation, Control Structures","Customer Journey Mapping, Variable Scope & Lifetime, Design Systems Documentation, Iteration Patterns, User Flow Diagrams","Mon|09:00-11:00, Thu|15:00-17:00",13,13,4,4,0.2013
"Intro to Human Computer Interaction, Introduction to Computing, IT Fundamentals","Web Styling, Prototyping & UI Tooling, Client-Side Scripting","Box Model, Wireframe Sketching, DOM Manipulation","Fri|18:00-20:00, Wed|13:00-15:00, Thu|15:00-17:00, Sat|09:00-11:00",5,1,Instructor,"Computer Programming, IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","Web Styling, Client-Side Scripting, HCI Principles & Guidelines, Prototyping & UI Tooling","Box Model, CSS Selectors, DOM Manipulation, System Prototype Proposal, Wireframe Sketching","Fri|18:00-20:00, Sat|09:00-11:00, Wed|13:00-15:00",13,5,5,4,0.736
"GE EL 108: Philippine Indigenous Communities, GE 104: Readings in Philippine History",,,"Mon|09:00-11:00, Tue|10:00-12:00, Fri|18:00-20:00, Sat|09:00-11:00",4,1,Instructor,"GE EL 108: Philippine Indigenous Communities, Intro to Human Computer Interaction","User Research & Behavioral Mapping, Prototyping & UI Tooling","User Research & Analysis, Wireframe Sketching, User Flow Diagrams","Mon|09:00-11:00, Tue|10:00-12:00, Thu|15:00-17:00",15,11,4,4,0.5095
"PE 2: PATH FIT 2 - Fitness Exercises, PE 1: PATH FIT 1 - Movement Enhancement",,,"Wed|13:00-15:00, Thu|15:00-17:00, Fri|18:00-20:00",4,1,Instructor,"Intro to Human Computer Interaction, PE 1: PATH FIT 1 - Movement Enhancement, PE 2: PATH FIT 2 - Fitness Exercises",Interaction Design & Cognitive Models,Human Information Processing,"Mon|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",13,12,5,4,0.7203
"Computer Programming, IT Fundamentals","Web Styling, Client-Side Scripting, Control Structures","Flexbox & Grid, DOM Manipulation, Loop Control, Iteration Patterns","Thu|15:00-17:00, Tue|10:00-12:00, Sat|09:00-11:00, Mon|09:00-11:00",2,1,Senior IT Student,"Intro to Human Computer Interaction, Computer Programming, IT Fundamentals","Web Styling, HCI Principles & Guidelines, Client-Side Scripting","Box Model, Guideline Categories of HCI, DOM Manipulation","Sat|09:00-11:00, Mon|09:00-11:00",2,2,4,3,0.5102
Introduction to Computing,"History & Hardware Evolution, Operating Systems & Architecture","Memory & Storage Types, Process Management, Processor Architecture","Tue|10:00-12:00, Thu|15:00-17:00, Wed|13:00-15:00, Sat|09:00-11:00",3,1,Instructor,"Computer Programming, Introduction to Computing","Data Structures, Digital Logic & Data Representation, Control Structures","Array Creation, Data Encoding (ASCII/Unicode), Loop Control","Fri|18:00-20:00, Thu|15:00-17:00, Sat|09:00-11:00",4,4,3,4,0.3326
IT Fundamentals,"Command Line & Web Infra, Web Markup, Client-Side Scripting, Web Styling","HTTP Request Methods, Forms & Inputs, Event Listeners, HTML5 Semantic Elements, Flexbox & Grid","Thu|15:00-17:00, Wed|13:00-15:00, Mon|09:00-11:00, Fri|18:00-20:00",5,1,Instructor,"Intro to Human Computer Interaction, Computer Programming","Modular Programming, Interaction Design & Cognitive Models, Control Structures, User Research & Behavioral Mapping","Variable Scope & Lifetime, Human Information Processing, Loop Control, User Research & Analysis","Thu|15:00-17:00, Sat|09:00-11:00, Wed|13:00-15:00",12,10,5,4,0.1429
IT Fundamentals,"Command Line & Web Infra, Client-Side Scripting","HTTP Request Methods, JavaScript Syntax, Event Listeners","Sat|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00, Mon|09:00-11:00",4,1,Senior IT Student,IT Fundamentals,"Web Styling, Client-Side Scripting, Command Line & Web Infra","Box Model, Event Listeners, Flexbox & Grid, HTTP Request Methods, JavaScript Syntax","Sat|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",2,2,4,3,0.7913
Intro to Human Computer Interaction,"User Research & Behavioral Mapping, HCI Principles & Guidelines, Interaction Design & Cognitive Models","User Flow Diagrams, HCI Principles & Paradigms, Guideline Categories of HCI, Human Information Processing","Thu|15:00-17:00, Tue|10:00-12:00",3,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction","Command Line & Web Infra, Prototyping & UI Tooling, HCI Principles & Guidelines","CLI Navigation, Domain Name System (DNS), Figma UI Design, Guideline Categories of HCI","Wed|13:00-15:00, Sat|09:00-11:00, Tue|10:00-12:00",14,5,3,4,0.3962
"Computer Programming, Introduction to Computing, IT Fundamentals","Command Line & Web Infra, Client-Side Scripting, Digital Logic & Data Representation, Data Structures","HTTP Request Methods, DOM Manipulation, Data Encoding (ASCII/Unicode), Basic Sorting Algorithms","Wed|13:00-15:00, Tue|10:00-12:00",3,1,Senior IT Student,"Introduction to Computing, Intro to Human Computer Interaction, Computer Programming","Data Structures, Operating Systems & Architecture, History & Hardware Evolution","Basic Sorting Algorithms, OS Fundamentals, Computing Generations","Tue|10:00-12:00, Mon|09:00-11:00, Wed|13:00-15:00",4,3,4,4,0.4551
Intro to Human Computer Interaction,"Prototyping & UI Tooling, High-Fidelity Design & Documentation, HCI Principles & Guidelines","Design System & Components, Design Systems Documentation, HCI Principles & Paradigms, System Prototype Proposal, Figma UI Design","Wed|13:00-15:00, Mon|09:00-11:00, Tue|10:00-12:00, Fri|18:00-20:00",4,1,Instructor,Intro to Human Computer Interaction,"Prototyping & UI Tooling, High-Fidelity Design & Documentation, HCI Principles & Guidelines, Interaction Design & Cognitive Models, User Research & Behavioral Mapping","Design System & Components, Design Systems Documentation, Figma UI Design, HCI Principles & Paradigms, Human Information Processing, System Prototype Proposal, User Flow Diagrams","Mon|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",15,5,4,4,0.7979
Computer Programming,"Control Structures, Data Structures, Modular Programming","Conditional Logic, Iteration Patterns, Loop Control, Basic Sorting Algorithms, Function Definitions","Fri|18:00-20:00, Thu|15:00-17:00, Wed|13:00-15:00, Mon|09:00-11:00",3,1,Senior IT Student,"Computer Programming, Intro to Human Computer Interaction","User Research & Behavioral Mapping, Prototyping & UI Tooling, High-Fidelity Design & Documentation, Data Structures, HCI Principles & Guidelines","User Research & Analysis, Wireframe Sketching, Design Systems Documentation, Basic Sorting Algorithms, HCI Principles & Paradigms","Wed|13:00-15:00, Tue|10:00-12:00",2,2,5,3,0.2991
"GE 105: Mathematics in the Modern World, GE 108: Understanding the Self",,,"Sat|09:00-11:00, Wed|13:00-15:00, Thu|15:00-17:00",3,1,Instructor,"GE 105: Mathematics in the Modern World, Introduction to Computing","Computer Networks Basics, Digital Logic & Data Representation","Client-Server Architecture, Data Encoding (ASCII/Unicode), Network Topologies","Mon|09:00-11:00, Sat|09:00-11:00, Tue|10:00-12:00",15,12,3,4,0.4795
Intro to Human Computer Interaction,"Interaction Design & Cognitive Models, HCI Principles & Guidelines, Prototyping & UI Tooling, User Research & Behavioral Mapping","Human Information Processing, System Prototype Proposal, Figma UI Design, Customer Journey Mapping","Thu|15:00-17:00, Mon|09:00-11:00, Sat|09:00-11:00, Tue|10:00-12:00",4,1,Instructor,"Intro to Human Computer Interaction, IT Fundamentals, Computer Programming","Modular Programming, HCI Principles & Guidelines, Data Structures, User Research & Behavioral Mapping","Variable Scope & Lifetime, System Prototype Proposal, Array Creation, User Research & Analysis","Thu|15:00-17:00, Fri|18:00-20:00",7,4,5,4,0.3541
"PE 2: PATH FIT 2 - Fitness Exercises, PE 1: PATH FIT 1 - Movement Enhancement",,,"Fri|18:00-20:00, Wed|13:00-15:00",4,1,Instructor,"Computer Programming, PE 1: PATH FIT 1 - Movement Enhancement, PE 2: PATH FIT 2 - Fitness Exercises","Control Structures, Modular Programming","Iteration Patterns, Parameters & Return Values","Fri|18:00-20:00, Sat|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",13,11,4,4,0.7953
"Introduction to Computing, IT Fundamentals","Digital Logic & Data Representation, Web Markup, Client-Side Scripting","Binary/Octal/Hex Conversions, Media & Tables, DOM Manipulation","Thu|15:00-17:00, Wed|13:00-15:00",4,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","Digital Logic & Data Representation, Client-Side Scripting, Web Markup, Computer Networks Basics","Binary/Octal/Hex Conversions, DOM Manipulation, Event Listeners, Media & Tables, Network Topologies","Fri|18:00-20:00, Thu|15:00-17:00, Tue|10:00-12:00, Wed|13:00-15:00",7,5,4,4,0.7344
"Introduction to Computing, Computer Programming","Data Structures, Modular Programming, Digital Logic & Data Representation, Control Structures","Basic Sorting Algorithms, Variable Scope & Lifetime, Array Creation, Boolean Logic Gates, Iteration Patterns","Thu|15:00-17:00, Wed|13:00-15:00, Fri|18:00-20:00, Sat|09:00-11:00",4,1,Instructor,"Computer Programming, Introduction to Computing","Debugging & Execution, Modular Programming, Computer Networks Basics, History & Hardware Evolution","Console Debugging Techniques, Function Definitions, Client-Server Architecture, Computing Generations","Wed|13:00-15:00, Thu|15:00-17:00",9,4,4,4,0.5355
NSTP 1: Civic Welfare Training Service,,,"Mon|09:00-11:00, Fri|18:00-20:00, Thu|15:00-17:00",2,1,Instructor,"Introduction to Computing, NSTP 1: Civic Welfare Training Service",Digital Logic & Data Representation,"Boolean Logic Gates, Data Encoding (ASCII/Unicode)","Fri|18:00-20:00, Mon|09:00-11:00, Sat|09:00-11:00, Thu|15:00-17:00",8,7,5,4,0.6087
"Introduction to Computing, IT Fundamentals, Intro to Human Computer Interaction","Web Styling, Web Markup, Digital Logic & Data Representation, HCI Principles & Guidelines, Operating Systems & Architecture","Responsive Layouts, Media & Tables, Data Encoding (ASCII/Unicode), System Prototype Proposal, OS Fundamentals","Sat|09:00-11:00, Mon|09:00-11:00, Thu|15:00-17:00, Fri|18:00-20:00",5,1,Senior IT Student,"IT Fundamentals, Computer Programming","Client-Side Scripting, Data Structures, Control Structures","JavaScript Syntax, Array Creation, Loop Control","Thu|15:00-17:00, Fri|18:00-20:00, Tue|10:00-12:00, Sat|09:00-11:00",2,0,3,3,0.2373
NSTP 2: Civic Welfare Training Service,,,"Sat|09:00-11:00, Mon|09:00-11:00, Thu|15:00-17:00",3,1,Senior IT Student,"IT Fundamentals, Intro to Human Computer Interaction, NSTP 2: Civic Welfare Training Service","User Research & Behavioral Mapping, HCI Principles & Guidelines, Prototyping & UI Tooling","User Flow Diagrams, HCI Principles & Paradigms, Figma UI Design","Thu|15:00-17:00, Wed|13:00-15:00, Tue|10:00-12:00",1,0,4,4,0.4369
"IT Fundamentals, Introduction to Computing","Command Line & Web Infra, Client-Side Scripting, Web Markup, Digital Logic & Data Representation, Operating Systems & Architecture","HTTP Request Methods, DOM Manipulation, HTML5 Semantic Elements, Data Encoding (ASCII/Unicode), File Systems & Permissions","Mon|09:00-11:00, Fri|18:00-20:00, Thu|15:00-17:00, Tue|10:00-12:00",3,1,Instructor,IT Fundamentals,"Command Line & Web Infra, Web Markup","HTTP Request Methods, Domain Name System (DNS), CLI Navigation, Media & Tables","Mon|09:00-11:00, Sat|09:00-11:00, Wed|13:00-15:00, Tue|10:00-12:00",12,7,3,4,0.4593
"GE 104: Readings in Philippine History, GE 108: Understanding the Self",,,"Fri|18:00-20:00, Wed|13:00-15:00",4,1,Senior IT Student,"GE 104: Readings in Philippine History, IT Fundamentals","Command Line & Web Infra, Web Styling","HTTP Request Methods, Box Model, Flexbox & Grid","Thu|15:00-17:00, Mon|09:00-11:00",4,4,3,3,0.353
IT Fundamentals,"Web Styling, Command Line & Web Infra","Flexbox & Grid, CLI Navigation, Domain Name System (DNS), Box Model","Thu|15:00-17:00, Wed|13:00-15:00, Mon|09:00-11:00, Fri|18:00-20:00",3,1,Instructor,"Computer Programming, IT Fundamentals","Client-Side Scripting, Web Markup","JavaScript Syntax, Forms & Inputs","Wed|13:00-15:00, Thu|15:00-17:00, Mon|09:00-11:00, Fri|18:00-20:00",3,3,3,4,0.3948
GE 105: Mathematics in the Modern World,,,"Wed|13:00-15:00, Fri|18:00-20:00, Thu|15:00-17:00",4,1,Senior IT Student,"Computer Programming, GE 105: Mathematics in the Modern World, Introduction to Computing","History & Hardware Evolution, Control Structures, Modular Programming","Computing Generations, Conditional Logic, Parameters & Return Values","Fri|18:00-20:00, Tue|10:00-12:00, Wed|13:00-15:00",1,1,4,4,0.5184
"Introduction to Computing, Computer Programming","Control Structures, History & Hardware Evolution, Modular Programming","Iteration Patterns, Memory & Storage Types, Variable Scope & Lifetime","Sat|09:00-11:00, Fri|18:00-20:00",2,1,Senior IT Student,"Computer Programming, Introduction to Computing, IT Fundamentals, Intro to Human Computer Interaction","Operating Systems & Architecture, High-Fidelity Design & Documentation, Modular Programming","File Systems & Permissions, High-Fidelity Prototyping, Variable Scope & Lifetime","Wed|13:00-15:00, Tue|10:00-12:00, Mon|09:00-11:00, Sat|09:00-11:00",2,0,4,3,0.388
GE EL 108: Philippine Indigenous Communities,,,"Tue|10:00-12:00, Wed|13:00-15:00",2,1,Instructor,"GE EL 108: Philippine Indigenous Communities, GE 105: Mathematics in the Modern World",,,"Fri|18:00-20:00, Mon|09:00-11:00",10,10,4,4,0.4841
"Computer Programming, IT Fundamentals, Introduction to Computing, NSTP 2: Civic Welfare Training Service","Data Structures, Digital Logic & Data Representation, History & Hardware Evolution","Basic Sorting Algorithms, Data Encoding (ASCII/Unicode), Memory & Storage Types, 1D/2D Manipulation, Linear/Binary Searching","Fri|18:00-20:00, Tue|10:00-12:00, Mon|09:00-11:00",3,1,Instructor,"Intro to Human Computer Interaction, IT Fundamentals, Computer Programming","Control Structures, User Research & Behavioral Mapping, Modular Programming, Web Markup","Conditional Logic, Customer Journey Mapping, User Flow Diagrams, Variable Scope & Lifetime, HTML5 Semantic Elements","Wed|13:00-15:00, Thu|15:00-17:00, Fri|18:00-20:00",10,5,5,4,0.245
"GE EL 108: Philippine Indigenous Communities, GE 108: Understanding the Self",,,"Thu|15:00-17:00, Mon|09:00-11:00, Fri|18:00-20:00, Sat|09:00-11:00",2,1,Instructor,"Computer Programming, GE EL 108: Philippine Indigenous Communities, IT Fundamentals",Web Styling,"Flexbox & Grid, Box Model","Wed|13:00-15:00, Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",14,2,4,4,0.4062
"Introduction to Computing, IT Fundamentals","Client-Side Scripting, Web Styling, Operating Systems & Architecture","Event Listeners, CSS Selectors, Process Management","Wed|13:00-15:00, Fri|18:00-20:00",3,1,Senior IT Student,"Computer Programming, GE 104: Readings in Philippine History, GE EL 108: Philippine Indigenous Communities, IT Fundamentals, Introduction to Computing","Debugging & Execution, Modular Programming, Computer Networks Basics","Logic Troubleshooting, Variable Scope & Lifetime, OSI Model Layers","Mon|09:00-11:00, Sat|09:00-11:00, Tue|10:00-12:00, Thu|15:00-17:00",2,2,3,4,0.2368
"IT Fundamentals, Intro to Human Computer Interaction","User Research & Behavioral Mapping, Web Markup, Web Styling","Customer Journey Mapping, Media & Tables, Forms & Inputs, Box Model, Flexbox & Grid","Mon|09:00-11:00, Sat|09:00-11:00, Wed|13:00-15:00, Tue|10:00-12:00",5,1,Instructor,"IT Fundamentals, Introduction to Computing","Web Styling, Command Line & Web Infra, History & Hardware Evolution, Client-Side Scripting","CSS Selectors, Domain Name System (DNS), Computing Generations, Event Listeners","Sat|09:00-11:00, Fri|18:00-20:00, Thu|15:00-17:00, Wed|13:00-15:00",3,2,4,4,0.2916
Computer Programming,"Debugging & Execution, Control Structures, Data Structures","Console Debugging Techniques, Iteration Patterns, 1D/2D Manipulation","Wed|13:00-15:00, Mon|09:00-11:00, Fri|18:00-20:00",4,1,Senior IT Student,"Computer Programming, IT Fundamentals","Data Structures, Debugging & Execution, Client-Side Scripting, Command Line & Web Infra, Control Structures","1D/2D Manipulation, Console Debugging Techniques, DOM Manipulation, HTTP Request Methods, Iteration Patterns, Logic Troubleshooting","Mon|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",4,0,5,3,0.577
"Intro to Human Computer Interaction, IT Fundamentals, Computer Programming","HCI Principles & Guidelines, Client-Side Scripting, Prototyping & UI Tooling, Data Structures","Guideline Categories of HCI, JavaScript Syntax, Design System & Components, Array Creation","Wed|13:00-15:00, Mon|09:00-11:00, Thu|15:00-17:00, Fri|18:00-20:00",3,1,Instructor,Intro to Human Computer Interaction,"High-Fidelity Design & Documentation, User Research & Behavioral Mapping, Interaction Design & Cognitive Models","High-Fidelity Prototyping, User Research & Analysis, Interaction Design Frameworks","Tue|10:00-12:00, Mon|09:00-11:00, Fri|18:00-20:00",15,7,3,4,0.2607
"Computer Programming, GE 108: Understanding the Self, IT Fundamentals, Introduction to Computing","Digital Logic & Data Representation, Computer Networks Basics","Data Encoding (ASCII/Unicode), Binary/Octal/Hex Conversions, OSI Model Layers","Thu|15:00-17:00, Fri|18:00-20:00, Wed|13:00-15:00, Sat|09:00-11:00",3,1,Senior IT Student,"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","User Research & Behavioral Mapping, Digital Logic & Data Representation, History & Hardware Evolution","Customer Journey Mapping, Binary/Octal/Hex Conversions, Memory & Storage Types","Sat|09:00-11:00, Mon|09:00-11:00",3,2,3,3,0.3554
"Introduction to Computing, Computer Programming","Modular Programming, Operating Systems & Architecture, Computer Networks Basics, Data Structures","Parameters & Return Values, OS Fundamentals, OSI Model Layers, Function Definitions, Array Creation","Tue|10:00-12:00, Mon|09:00-11:00, Thu|15:00-17:00, Fri|18:00-20:00",3,1,Senior IT Student,"Computer Programming, Introduction to Computing","Data Structures, Modular Programming, Computer Networks Basics, Operating Systems & Architecture","Array Creation, Function Definitions, Network Topologies, OS Fundamentals, OSI Model Layers, Parameters & Return Values","Fri|18:00-20:00, Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",3,3,5,4,0.938
"Computer Programming, GE 104: Readings in Philippine History, GE EL 108: Philippine Indigenous Communities, IT Fundamentals, Introduction to Computing","Modular Programming, Client-Side Scripting, Data Structures, Computer Networks Basics","Variable Scope & Lifetime, DOM Manipulation, Linear/Binary Searching, Client-Server Architecture, Event Listeners","Sat|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",4,1,Senior IT Student,"Computer Programming, GE 104: Readings in Philippine History, GE EL 108: Philippine Indigenous Communities, IT Fundamentals, Introduction to Computing","Computer Networks Basics, Client-Side Scripting, Data Structures, Operating Systems & Architecture, History & Hardware Evolution, Modular Programming","Client-Server Architecture, DOM Manipulation, Event Listeners, Linear/Binary Searching, Process Management, Processor Architecture, Variable Scope & Lifetime","Mon|09:00-11:00, Sat|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",3,3,4,3,0.7972
